"","Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id","pid_proteins$Gene.proteins.secondaryIdentifier"
"1544","YJL005W","Cyr1p","PS51450",1018,1039,"PROSITE",1943250,"YJL005W"
"1545","YJL005W","Cyr1p","PS51450",1041,1062,"PROSITE",1943251,"YJL005W"
"1546","YJL005W","Cyr1p","PS51450",1065,1087,"PROSITE",1943252,"YJL005W"
"1547","YJL005W","Cyr1p","PS51450",1088,1109,"PROSITE",1943253,"YJL005W"
"1548","YJL005W","Cyr1p","PS51450",1111,1133,"PROSITE",1943254,"YJL005W"
"1549","YJL005W","Cyr1p","PS51450",1190,1210,"PROSITE",1943255,"YJL005W"
"1550","YJL005W","Cyr1p","PS51450",1211,1232,"PROSITE",1943256,"YJL005W"
"1551","YJL005W","Cyr1p","PS51450",1235,1257,"PROSITE",1943257,"YJL005W"
"1552","YJL005W","Cyr1p","PS51450",1287,1308,"PROSITE",1943258,"YJL005W"
"1553","YJL013C","Mad3p","G3DSA:1.25.40.10",67,223,"GENE3D",1968960,"YJL013C"
"1554","YJL020C","Bbc1p","PF00018",11,60,"Pfam",1968952,"YJL020C"
"1555","YJL020C","Bbc1p","PS50002",5,69,"PROSITE",1968953,"YJL020C"
"1556","YJL020C","Bbc1p","SM00326",8,68,"SMART",1968954,"YJL020C"
"1557","YJL020C","Bbc1p","SSF50044",3,68,"SUPERFAMILY",1968955,"YJL020C"
"1558","YJL048C","Ubx6p","PF00789",187,265,"Pfam",1968883,"YJL048C"
"1559","YJL048C","Ubx6p","PS50033",186,264,"PROSITE",1968884,"YJL048C"
"1560","YJL048C","Ubx6p","SM00166",183,266,"SMART",1968887,"YJL048C"
"1561","YJL061W","Nup82p","G3DSA:2.130.10.10",10,471,"GENE3D",1965442,"YJL061W"
"1562","YJL069C","Utp18p","G3DSA:2.130.10.10",42,593,"GENE3D",1965413,"YJL069C"
"1563","YJL069C","Utp18p","PF00400",247,275,"Pfam",1965414,"YJL069C"
"1564","YJL069C","Utp18p","PF00400",564,590,"Pfam",1965415,"YJL069C"
"1565","YJL069C","Utp18p","PS50082",244,278,"PROSITE",1965416,"YJL069C"
"1566","YJL069C","Utp18p","PS50082",565,594,"PROSITE",1965417,"YJL069C"
"1567","YJL069C","Utp18p","PS50294",244,285,"PROSITE",1965418,"YJL069C"
"1568","YJL069C","Utp18p","PS50294",558,594,"PROSITE",1965419,"YJL069C"
"1569","YJL069C","Utp18p","SM00320",238,276,"SMART",1965421,"YJL069C"
"1570","YJL069C","Utp18p","SM00320",454,495,"SMART",1965422,"YJL069C"
"1571","YJL069C","Utp18p","SM00320",548,590,"SMART",1965423,"YJL069C"
"1572","YJL069C","Utp18p","SSF50978",247,592,"SUPERFAMILY",1965424,"YJL069C"
"1573","YJL073W","Jem1p","G3DSA:1.25.40.10",52,530,"GENE3D",1965382,"YJL073W"
"1574","YJL074C","Smc3p","PF06470",535,651,"Pfam",1968772,"YJL074C"
"1575","YJL074C","Smc3p","SM00968",534,651,"SMART",1968776,"YJL074C"
"1576","YJL074C","Smc3p","SSF75553",487,697,"SUPERFAMILY",1968779,"YJL074C"
"1577","YJL082W","Iml2p","G3DSA:1.25.40.10",24,730,"GENE3D",1968734,"YJL082W"
"1578","YJL083W","Tax4p","SM00027",463,557,"SMART",1968731,"YJL083W"
"1579","YJL099W","Chs6p","G3DSA:1.25.40.10",335,658,"GENE3D",1966588,"YJL099W"
"1580","YJL099W","Chs6p","PS50293",337,404,"PROSITE",1966591,"YJL099W"
"1581","YJL099W","Chs6p","SSF48452",339,405,"SUPERFAMILY",1966594,"YJL099W"
"1582","YJL105W","Set4p","PF00856",331,472,"Pfam",1967524,"YJL105W"
"1583","YJL105W","Set4p","PS50280",346,475,"PROSITE",1967527,"YJL105W"
"1584","YJL105W","Set4p","SM00317",346,481,"SMART",1967531,"YJL105W"
"1585","YJL112W","Mdv1p","G3DSA:2.130.10.10",491,585,"GENE3D",1968669,"YJL112W"
"1586","YJL112W","Mdv1p","G3DSA:2.130.10.10",586,627,"GENE3D",1968670,"YJL112W"
"1587","YJL112W","Mdv1p","PF00400",393,427,"Pfam",1968672,"YJL112W"
"1588","YJL112W","Mdv1p","PF00400",432,469,"Pfam",1968673,"YJL112W"
"1589","YJL112W","Mdv1p","PF00400",494,528,"Pfam",1968674,"YJL112W"
"1590","YJL112W","Mdv1p","PF00400",596,632,"Pfam",1968675,"YJL112W"
"1591","YJL112W","Mdv1p","PS50082",394,436,"PROSITE",1968684,"YJL112W"
"1592","YJL112W","Mdv1p","PS50082",437,478,"PROSITE",1968685,"YJL112W"
"1593","YJL112W","Mdv1p","PS50082",498,537,"PROSITE",1968686,"YJL112W"
"1594","YJL112W","Mdv1p","PS50082",579,601,"PROSITE",1968687,"YJL112W"
"1595","YJL112W","Mdv1p","PS50082",602,636,"PROSITE",1968688,"YJL112W"
"1596","YJL112W","Mdv1p","PS50082",683,714,"PROSITE",1968689,"YJL112W"
"1597","YJL112W","Mdv1p","PS50294",394,714,"PROSITE",1968690,"YJL112W"
"1598","YJL112W","Mdv1p","SM00320",386,427,"SMART",1968693,"YJL112W"
"1599","YJL112W","Mdv1p","SM00320",430,469,"SMART",1968694,"YJL112W"
"1600","YJL112W","Mdv1p","SM00320",491,528,"SMART",1968695,"YJL112W"
"1601","YJL112W","Mdv1p","SM00320",531,592,"SMART",1968696,"YJL112W"
"1602","YJL112W","Mdv1p","SM00320",595,632,"SMART",1968697,"YJL112W"
"1603","YJL112W","Mdv1p","SM00320",634,672,"SMART",1968698,"YJL112W"
"1604","YJL112W","Mdv1p","SSF50978",395,712,"SUPERFAMILY",1968699,"YJL112W"
"1605","YJL149W","Das1p","PF12937",51,93,"Pfam",1968605,"YJL149W"
"1606","YJL149W","Das1p","PS50181",46,91,"PROSITE",1968606,"YJL149W"
"1607","YJL149W","Das1p","SM00256",52,92,"SMART",1968607,"YJL149W"
"1608","YJL149W","Das1p","SSF81383",47,112,"SUPERFAMILY",1968608,"YJL149W"
"1609","YJL168C","Set2p","PF00856",131,237,"Pfam",1968549,"YJL168C"
"1610","YJL168C","Set2p","PS50280",120,237,"PROSITE",1968551,"YJL168C"
"1611","YJL168C","Set2p","SM00317",120,243,"SMART",1968557,"YJL168C"
"1612","YJL168C","Set2p","SM00456",476,507,"SMART",1968558,"YJL168C"
"1613","YJL168C","Set2p","SSF51045",479,505,"SUPERFAMILY",1968561,"YJL168C"
"1614","YJL176C","Swi3p","PF04433",308,393,"Pfam",1954258,"YJL176C"
"1615","YJL176C","Swi3p","PS50934",305,402,"PROSITE",1954260,"YJL176C"
"1616","YJL222W","Vth2p","G3DSA:2.130.10.10",35,588,"GENE3D",1966540,"YJL222W"
"1617","YJL222W","Vth2p","G3DSA:2.130.10.10",721,1089,"GENE3D",1966541,"YJL222W"
"1618","YJR017C","Ess1p","PF00397",11,41,"Pfam",1949201,"YJR017C"
"1619","YJR017C","Ess1p","PS01159",15,41,"PROSITE",1949204,"YJR017C"
"1620","YJR017C","Ess1p","PS50020",9,43,"PROSITE",1949205,"YJR017C"
"1621","YJR017C","Ess1p","SM00456",10,43,"SMART",1949209,"YJR017C"
"1622","YJR017C","Ess1p","SSF51045",5,41,"SUPERFAMILY",1949210,"YJR017C"
"1623","YJR032W","Cpr7p","G3DSA:1.25.40.10",306,390,"GENE3D",1969096,"YJR032W"
"1624","YJR032W","Cpr7p","PF00515",330,363,"Pfam",1969099,"YJR032W"
"1625","YJR032W","Cpr7p","PS50005",240,273,"PROSITE",1969106,"YJR032W"
"1626","YJR032W","Cpr7p","PS50005",292,325,"PROSITE",1969107,"YJR032W"
"1627","YJR032W","Cpr7p","PS50005",330,363,"PROSITE",1969108,"YJR032W"
"1628","YJR032W","Cpr7p","PS50293",292,363,"PROSITE",1969110,"YJR032W"
"1629","YJR032W","Cpr7p","SM00028",240,273,"SMART",1969113,"YJR032W"
"1630","YJR032W","Cpr7p","SM00028",292,325,"SMART",1969114,"YJR032W"
"1631","YJR032W","Cpr7p","SM00028",330,363,"SMART",1969115,"YJR032W"
"1632","YJR032W","Cpr7p","SSF48452",238,383,"SUPERFAMILY",1969116,"YJR032W"
"1633","YJR033C","Rav1p","G3DSA:2.130.10.10",160,507,"GENE3D",1969120,"YJR033C"
"1634","YJR033C","Rav1p","SM00320",42,79,"SMART",1969124,"YJR033C"
"1635","YJR033C","Rav1p","SM00320",89,125,"SMART",1969125,"YJR033C"
"1636","YJR033C","Rav1p","SM00320",132,173,"SMART",1969126,"YJR033C"
"1637","YJR033C","Rav1p","SM00320",179,230,"SMART",1969127,"YJR033C"
"1638","YJR033C","Rav1p","SM00320",586,627,"SMART",1969128,"YJR033C"
"1639","YJR033C","Rav1p","SSF50978",97,308,"SUPERFAMILY",1969129,"YJR033C"
"1640","YJR033C","Rav1p","SSF50978",377,540,"SUPERFAMILY",1969130,"YJR033C"
"1641","YJR033C","Rav1p","SSF50978",379,468,"SUPERFAMILY",1969131,"YJR033C"
"1642","YJR033C","Rav1p","SSF50978",586,716,"SUPERFAMILY",1969132,"YJR033C"
"1643","YJR039W","Mlo127p","G3DSA:2.130.10.10",87,1044,"GENE3D",1969133,"YJR039W"
"1644","YJR066W","Tor1p","PF02259",1461,1845,"Pfam",1956755,"YJR066W"
"1645","YJR066W","Tor1p","PF02260",2440,2470,"Pfam",1956756,"YJR066W"
"1646","YJR066W","Tor1p","PS51190",2438,2470,"PROSITE",1956763,"YJR066W"
"1647","YJR066W","Tor1p","SM01343",2438,2470,"SMART",1956767,"YJR066W"
"1648","YJR084W","Yjr084Wp","PF01399",300,415,"Pfam",1969217,"YJR084W"
"1649","YJR088C","Emc2p","G3DSA:1.25.40.10",17,259,"GENE3D",1969223,"YJR088C"
"1650","YJR088C","Emc2p","PS50005",163,196,"PROSITE",1969224,"YJR088C"
"1651","YJR088C","Emc2p","SSF48452",87,123,"SUPERFAMILY",1969227,"YJR088C"
"1652","YJR088C","Emc2p","SSF48452",152,257,"SUPERFAMILY",1969228,"YJR088C"
"1653","YJR090C","Grr1p","PS50181",314,361,"PROSITE",1949880,"YJR090C"
"1654","YJR090C","Grr1p","SM00256",320,361,"SMART",1949883,"YJR090C"
"1655","YKL012W","Prp40p","PF00397",4,29,"Pfam",1955657,"YKL012W"
"1656","YKL012W","Prp40p","PF00397",43,70,"Pfam",1955658,"YKL012W"
"1657","YKL012W","Prp40p","PS01159",4,29,"PROSITE",1955663,"YKL012W"
"1658","YKL012W","Prp40p","PS01159",45,70,"PROSITE",1955664,"YKL012W"
"1659","YKL012W","Prp40p","PS50020",1,31,"PROSITE",1955665,"YKL012W"
"1660","YKL012W","Prp40p","PS50020",42,72,"PROSITE",1955666,"YKL012W"
"1661","YKL012W","Prp40p","SM00456",1,31,"SMART",1955679,"YKL012W"
"1662","YKL012W","Prp40p","SM00456",40,72,"SMART",1955680,"YKL012W"
"1663","YKL012W","Prp40p","SSF51045",3,37,"SUPERFAMILY",1955681,"YKL012W"
"1664","YKL012W","Prp40p","SSF51045",37,71,"SUPERFAMILY",1955682,"YKL012W"
"1665","YKL018W","Swd2p","G3DSA:2.130.10.10",4,265,"GENE3D",1957912,"YKL018W"
"1666","YKL018W","Swd2p","PF00400",17,50,"Pfam",1957913,"YKL018W"
"1667","YKL018W","Swd2p","PF00400",104,141,"Pfam",1957914,"YKL018W"
"1668","YKL018W","Swd2p","PS50082",109,143,"PROSITE",1957915,"YKL018W"
"1669","YKL018W","Swd2p","PS50294",23,150,"PROSITE",1957916,"YKL018W"
"1670","YKL018W","Swd2p","SM00320",13,55,"SMART",1957919,"YKL018W"
"1671","YKL018W","Swd2p","SM00320",102,141,"SMART",1957920,"YKL018W"
"1672","YKL018W","Swd2p","SM00320",190,229,"SMART",1957921,"YKL018W"
"1673","YKL018W","Swd2p","SM00320",243,278,"SMART",1957922,"YKL018W"
"1674","YKL018W","Swd2p","SSF50978",28,328,"SUPERFAMILY",1957923,"YKL018W"
"1675","YKL020C","Spt23p","PS50088",709,741,"PROSITE",1957039,"YKL020C"
"1676","YKL020C","Spt23p","PS50088",742,774,"PROSITE",1957040,"YKL020C"
"1677","YKL020C","Spt23p","SM00248",709,738,"SMART",1957044,"YKL020C"
"1678","YKL020C","Spt23p","SM00248",742,771,"SMART",1957045,"YKL020C"
"1679","YKL021C","Mak11p","G3DSA:2.130.10.10",3,122,"GENE3D",1948227,"YKL021C"
"1680","YKL021C","Mak11p","G3DSA:2.130.10.10",123,276,"GENE3D",1948228,"YKL021C"
"1681","YKL021C","Mak11p","G3DSA:2.130.10.10",277,357,"GENE3D",1948229,"YKL021C"
"1682","YKL021C","Mak11p","PF00400",44,78,"Pfam",1948230,"YKL021C"
"1683","YKL021C","Mak11p","PF00400",83,134,"Pfam",1948231,"YKL021C"
"1684","YKL021C","Mak11p","PF00400",139,177,"Pfam",1948232,"YKL021C"
"1685","YKL021C","Mak11p","PF00400",295,330,"Pfam",1948233,"YKL021C"
"1686","YKL021C","Mak11p","PS50082",48,87,"PROSITE",1948239,"YKL021C"
"1687","YKL021C","Mak11p","PS50082",145,186,"PROSITE",1948240,"YKL021C"
"1688","YKL021C","Mak11p","PS50082",296,339,"PROSITE",1948241,"YKL021C"
"1689","YKL021C","Mak11p","PS50294",48,186,"PROSITE",1948242,"YKL021C"
"1690","YKL021C","Mak11p","PS50294",296,339,"PROSITE",1948243,"YKL021C"
"1691","YKL021C","Mak11p","SM00320",41,78,"SMART",1948246,"YKL021C"
"1692","YKL021C","Mak11p","SM00320",81,135,"SMART",1948247,"YKL021C"
"1693","YKL021C","Mak11p","SM00320",138,177,"SMART",1948248,"YKL021C"
"1694","YKL021C","Mak11p","SM00320",185,221,"SMART",1948249,"YKL021C"
"1695","YKL021C","Mak11p","SM00320",289,330,"SMART",1948250,"YKL021C"
"1696","YKL021C","Mak11p","SSF50978",40,348,"SUPERFAMILY",1948251,"YKL021C"
"1697","YKL022C","Cdc16p","G3DSA:1.25.40.10",236,372,"GENE3D",1943602,"YKL022C"
"1698","YKL022C","Cdc16p","G3DSA:1.25.40.10",373,432,"GENE3D",1943603,"YKL022C"
"1699","YKL022C","Cdc16p","G3DSA:1.25.40.10",433,602,"GENE3D",1943604,"YKL022C"
"1700","YKL022C","Cdc16p","G3DSA:1.25.40.10",603,643,"GENE3D",1943605,"YKL022C"
"1701","YKL022C","Cdc16p","G3DSA:1.25.40.10",644,684,"GENE3D",1943606,"YKL022C"
"1702","YKL022C","Cdc16p","G3DSA:1.25.40.10",685,714,"GENE3D",1943607,"YKL022C"
"1703","YKL022C","Cdc16p","PF13181",709,741,"Pfam",1943610,"YKL022C"
"1704","YKL022C","Cdc16p","PS50005",359,392,"PROSITE",1943612,"YKL022C"
"1705","YKL022C","Cdc16p","PS50005",531,564,"PROSITE",1943613,"YKL022C"
"1706","YKL022C","Cdc16p","PS50005",565,598,"PROSITE",1943614,"YKL022C"
"1707","YKL022C","Cdc16p","PS50005",599,632,"PROSITE",1943615,"YKL022C"
"1708","YKL022C","Cdc16p","PS50005",633,666,"PROSITE",1943616,"YKL022C"
"1709","YKL022C","Cdc16p","PS50005",674,707,"PROSITE",1943617,"YKL022C"
"1710","YKL022C","Cdc16p","PS50005",708,741,"PROSITE",1943618,"YKL022C"
"1711","YKL022C","Cdc16p","PS50293",359,392,"PROSITE",1943619,"YKL022C"
"1712","YKL022C","Cdc16p","PS50293",531,741,"PROSITE",1943620,"YKL022C"
"1713","YKL022C","Cdc16p","SM00028",359,392,"SMART",1943623,"YKL022C"
"1714","YKL022C","Cdc16p","SM00028",463,496,"SMART",1943624,"YKL022C"
"1715","YKL022C","Cdc16p","SM00028",531,564,"SMART",1943625,"YKL022C"
"1716","YKL022C","Cdc16p","SM00028",565,598,"SMART",1943626,"YKL022C"
"1717","YKL022C","Cdc16p","SM00028",599,632,"SMART",1943627,"YKL022C"
"1718","YKL022C","Cdc16p","SM00028",633,666,"SMART",1943628,"YKL022C"
"1719","YKL022C","Cdc16p","SM00028",674,707,"SMART",1943629,"YKL022C"
"1720","YKL022C","Cdc16p","SM00028",708,741,"SMART",1943630,"YKL022C"
"1721","YKL022C","Cdc16p","SSF48452",260,325,"SUPERFAMILY",1943631,"YKL022C"
"1722","YKL022C","Cdc16p","SSF48452",359,399,"SUPERFAMILY",1943632,"YKL022C"
"1723","YKL022C","Cdc16p","SSF48452",366,396,"SUPERFAMILY",1943633,"YKL022C"
"1724","YKL022C","Cdc16p","SSF48452",467,752,"SUPERFAMILY",1943634,"YKL022C"
"1725","YKL054C","Def1p","PF02845",24,61,"Pfam",1957149,"YKL054C"
"1726","YKL054C","Def1p","PS51140",21,63,"PROSITE",1957150,"YKL054C"
"1727","YKL069W","Ykl069Wp","PF13185",62,173,"Pfam",1957850,"YKL069W"
"1728","YKL081W","Tef4p","PF02798",3,71,"Pfam",1957343,"YKL081W"
"1729","YKL081W","Tef4p","PS50404",1,77,"PROSITE",1957345,"YKL081W"
"1730","YKL090W","Cue2p","PF02845",9,49,"Pfam",1957788,"YKL090W"
"1731","YKL090W","Cue2p","PF02845",57,95,"Pfam",1957789,"YKL090W"
"1732","YKL090W","Cue2p","PS51140",8,51,"PROSITE",1957791,"YKL090W"
"1733","YKL090W","Cue2p","PS51140",55,98,"PROSITE",1957792,"YKL090W"
"1734","YKL090W","Cue2p","SM00546",8,50,"SMART",1957796,"YKL090W"
"1735","YKL090W","Cue2p","SM00546",55,97,"SMART",1957797,"YKL090W"
"1736","YKL090W","Cue2p","SSF46934",6,54,"SUPERFAMILY",1957799,"YKL090W"
"1737","YKL090W","Cue2p","SSF46934",54,96,"SUPERFAMILY",1957800,"YKL090W"
"1738","YKL121W","Dgr2p","G3DSA:2.130.10.10",165,574,"GENE3D",1952983,"YKL121W"
"1739","YKL121W","Dgr2p","G3DSA:2.130.10.10",579,804,"GENE3D",1952984,"YKL121W"
"1740","YKL121W","Dgr2p","PF00400",174,201,"Pfam",1952985,"YKL121W"
"1741","YKL121W","Dgr2p","PF00400",314,349,"Pfam",1952986,"YKL121W"
"1742","YKL121W","Dgr2p","PS50082",276,316,"PROSITE",1952987,"YKL121W"
"1743","YKL121W","Dgr2p","PS50294",276,358,"PROSITE",1952988,"YKL121W"
"1744","YKL121W","Dgr2p","SM00320",162,201,"SMART",1952991,"YKL121W"
"1745","YKL121W","Dgr2p","SM00320",269,307,"SMART",1952992,"YKL121W"
"1746","YKL121W","Dgr2p","SM00320",310,349,"SMART",1952993,"YKL121W"
"1747","YKL121W","Dgr2p","SM00320",581,680,"SMART",1952994,"YKL121W"
"1748","YKL121W","Dgr2p","SSF50978",171,509,"SUPERFAMILY",1952995,"YKL121W"
"1749","YKL121W","Dgr2p","SSF50978",442,603,"SUPERFAMILY",1952996,"YKL121W"
"1750","YKL121W","Dgr2p","SSF50978",664,691,"SUPERFAMILY",1952997,"YKL121W"
"1751","YKL124W","Ssh4p","PF00622",231,326,"Pfam",1953102,"YKL124W"
"1752","YKL124W","Ssh4p","SM00449",228,352,"SMART",1953106,"YKL124W"
"1753","YKL129C","Myo3p","PF00018",1127,1174,"Pfam",1957315,"YKL129C"
"1754","YKL129C","Myo3p","PS50002",1120,1182,"PROSITE",1957323,"YKL129C"
"1755","YKL129C","Myo3p","SM00326",1123,1181,"SMART",1957329,"YKL129C"
"1756","YKL129C","Myo3p","SSF50044",1107,1184,"SUPERFAMILY",1957330,"YKL129C"
"1757","YKL133C","Rci50p","G3DSA:1.25.40.10",76,460,"GENE3D",1957772,"YKL133C"
"1758","YKL193C","Sds22p","PF00560",226,241,"Pfam",1957644,"YKL193C"
"1759","YKL193C","Sds22p","PF13516",245,260,"Pfam",1957645,"YKL193C"
"1760","YKL193C","Sds22p","PS51450",43,64,"PROSITE",1957647,"YKL193C"
"1761","YKL193C","Sds22p","PS51450",67,88,"PROSITE",1957648,"YKL193C"
"1762","YKL193C","Sds22p","PS51450",91,113,"PROSITE",1957649,"YKL193C"
"1763","YKL193C","Sds22p","PS51450",114,135,"PROSITE",1957650,"YKL193C"
"1764","YKL193C","Sds22p","PS51450",136,157,"PROSITE",1957651,"YKL193C"
"1765","YKL193C","Sds22p","PS51450",158,179,"PROSITE",1957652,"YKL193C"
"1766","YKL193C","Sds22p","PS51450",182,203,"PROSITE",1957653,"YKL193C"
"1767","YKL193C","Sds22p","PS51450",204,225,"PROSITE",1957654,"YKL193C"
"1768","YKL193C","Sds22p","PS51450",226,247,"PROSITE",1957655,"YKL193C"
"1769","YKL193C","Sds22p","PS51450",248,269,"PROSITE",1957656,"YKL193C"
"1770","YKL193C","Sds22p","PS51450",270,292,"PROSITE",1957657,"YKL193C"
"1771","YKL193C","Sds22p","PS51450",297,317,"PROSITE",1957658,"YKL193C"
"1772","YKL203C","Tor2p","PF02259",1468,1848,"Pfam",1954340,"YKL203C"
"1773","YKL203C","Tor2p","PF02260",2444,2474,"Pfam",1954341,"YKL203C"
"1774","YKL203C","Tor2p","PS51190",2442,2474,"PROSITE",1954348,"YKL203C"
"1775","YKL203C","Tor2p","SM01343",2442,2474,"SMART",1954352,"YKL203C"
"1776","YKL213C","Doa1p","G3DSA:2.130.10.10",1,308,"GENE3D",1957598,"YKL213C"
"1777","YKL213C","Doa1p","PF00400",4,40,"Pfam",1957599,"YKL213C"
"1778","YKL213C","Doa1p","PF00400",90,125,"Pfam",1957600,"YKL213C"
"1779","YKL213C","Doa1p","PF00400",128,165,"Pfam",1957601,"YKL213C"
"1780","YKL213C","Doa1p","PF00400",211,247,"Pfam",1957602,"YKL213C"
"1781","YKL213C","Doa1p","PS50082",9,40,"PROSITE",1957608,"YKL213C"
"1782","YKL213C","Doa1p","PS50082",95,125,"PROSITE",1957609,"YKL213C"
"1783","YKL213C","Doa1p","PS50082",133,166,"PROSITE",1957610,"YKL213C"
"1784","YKL213C","Doa1p","PS50082",216,256,"PROSITE",1957611,"YKL213C"
"1785","YKL213C","Doa1p","PS50294",9,297,"PROSITE",1957612,"YKL213C"
"1786","YKL213C","Doa1p","SM00320",2,40,"SMART",1957616,"YKL213C"
"1787","YKL213C","Doa1p","SM00320",88,125,"SMART",1957617,"YKL213C"
"1788","YKL213C","Doa1p","SM00320",126,166,"SMART",1957618,"YKL213C"
"1789","YKL213C","Doa1p","SM00320",167,206,"SMART",1957619,"YKL213C"
"1790","YKL213C","Doa1p","SM00320",209,247,"SMART",1957620,"YKL213C"
"1791","YKL213C","Doa1p","SM00320",250,288,"SMART",1957621,"YKL213C"
"1792","YKL213C","Doa1p","SSF50978",3,292,"SUPERFAMILY",1957623,"YKL213C"
"1793","YKL222C","Ykl222Cp","PS51450",337,359,"PROSITE",1957224,"YKL222C"
"1794","YKL222C","Ykl222Cp","PS51450",494,515,"PROSITE",1957225,"YKL222C"
"1795","YKR008W","Rsc4p","G3DSA:1.20.920.10",52,157,"GENE3D",1974941,"YKR008W"
"1796","YKR008W","Rsc4p","G3DSA:1.20.920.10",158,304,"GENE3D",1974942,"YKR008W"
"1797","YKR008W","Rsc4p","PF00439",75,142,"Pfam",1974943,"YKR008W"
"1798","YKR008W","Rsc4p","PF00439",207,279,"Pfam",1974944,"YKR008W"
"1799","YKR008W","Rsc4p","PR00503",208,221,"PRINTS",1974945,"YKR008W"
"1800","YKR008W","Rsc4p","PR00503",222,238,"PRINTS",1974946,"YKR008W"
"1801","YKR008W","Rsc4p","PR00503",238,256,"PRINTS",1974947,"YKR008W"
"1802","YKR008W","Rsc4p","PR00503",256,275,"PRINTS",1974948,"YKR008W"
"1803","YKR008W","Rsc4p","PS50014",72,141,"PROSITE",1974950,"YKR008W"
"1804","YKR008W","Rsc4p","PS50014",205,275,"PROSITE",1974951,"YKR008W"
"1805","YKR008W","Rsc4p","SM00297",55,160,"SMART",1974954,"YKR008W"
"1806","YKR008W","Rsc4p","SM00297",184,294,"SMART",1974955,"YKR008W"
"1807","YKR008W","Rsc4p","SSF47370",51,152,"SUPERFAMILY",1974956,"YKR008W"
"1808","YKR008W","Rsc4p","SSF47370",206,292,"SUPERFAMILY",1974957,"YKR008W"
"1809","YKR018C","Ykr018Cp","G3DSA:1.25.40.10",24,620,"GENE3D",1957984,"YKR018C"
"1810","YKR018C","Ykr018Cp","SSF48452",399,498,"SUPERFAMILY",1957988,"YKR018C"
"1811","YKR019C","Irs4p","SM00027",480,570,"SMART",1957992,"YKR019C"
"1812","YKR027W","Bch2p","G3DSA:1.25.40.10",269,671,"GENE3D",1958021,"YKR027W"
"1813","YKR027W","Bch2p","SSF48452",343,401,"SUPERFAMILY",1958026,"YKR027W"
"1814","YKR029C","Set3p","PS50280",313,456,"PROSITE",1958035,"YKR029C"
"1815","YKR029C","Set3p","SM00317",321,462,"SMART",1958039,"YKR029C"
"1816","YKR036C","Caf4p","G3DSA:2.130.10.10",448,548,"GENE3D",1958064,"YKR036C"
"1817","YKR036C","Caf4p","PF00400",317,348,"Pfam",1958067,"YKR036C"
"1818","YKR036C","Caf4p","PF00400",355,391,"Pfam",1958068,"YKR036C"
"1819","YKR036C","Caf4p","PF00400",416,450,"Pfam",1958069,"YKR036C"
"1820","YKR036C","Caf4p","PF00400",519,555,"Pfam",1958070,"YKR036C"
"1821","YKR036C","Caf4p","PS50082",315,357,"PROSITE",1958079,"YKR036C"
"1822","YKR036C","Caf4p","PS50082",358,400,"PROSITE",1958080,"YKR036C"
"1823","YKR036C","Caf4p","PS50082",420,459,"PROSITE",1958081,"YKR036C"
"1824","YKR036C","Caf4p","PS50082",502,524,"PROSITE",1958082,"YKR036C"
"1825","YKR036C","Caf4p","PS50082",525,564,"PROSITE",1958083,"YKR036C"
"1826","YKR036C","Caf4p","PS50294",315,564,"PROSITE",1958084,"YKR036C"
"1827","YKR036C","Caf4p","SM00320",306,348,"SMART",1958087,"YKR036C"
"1828","YKR036C","Caf4p","SM00320",351,391,"SMART",1958088,"YKR036C"
"1829","YKR036C","Caf4p","SM00320",413,450,"SMART",1958089,"YKR036C"
"1830","YKR036C","Caf4p","SM00320",477,515,"SMART",1958090,"YKR036C"
"1831","YKR036C","Caf4p","SM00320",518,555,"SMART",1958091,"YKR036C"
"1832","YKR036C","Caf4p","SM00320",558,594,"SMART",1958092,"YKR036C"
"1833","YKR036C","Caf4p","SM00320",603,642,"SMART",1958093,"YKR036C"
"1834","YKR036C","Caf4p","SSF50978",318,642,"SUPERFAMILY",1958094,"YKR036C"
"1835","YKR076W","Ecm4p","PF13409",45,183,"Pfam",1958205,"YKR076W"
"1836","YKR082W","Nup133p","G3DSA:2.130.10.10",53,481,"GENE3D",1958237,"YKR082W"
"1837","YKR094C","Rpl40Bp","PF00240",3,74,"Pfam",1944114,"YKR094C"
"1838","YKR094C","Rpl40Bp","PS50053",1,76,"PROSITE",1944120,"YKR094C"
"1839","YKR094C","Rpl40Bp","SM00213",1,72,"SMART",1944123,"YKR094C"
"1840","YKR095W","Mlp1p","PS51450",1099,1120,"PROSITE",1975037,"YKR095W"
"1841","YKR096W","Esl2p","SSF48452",257,619,"SUPERFAMILY",1958277,"YKR096W"
"1842","YKR096W","Esl2p","SSF48452",710,764,"SUPERFAMILY",1958278,"YKR096W"
"1843","YKR096W","Esl2p","SSF48452",791,888,"SUPERFAMILY",1958279,"YKR096W"
"1844","YLL011W","Sof1p","G3DSA:2.130.10.10",172,454,"GENE3D",1956221,"YLL011W"
"1845","YLL011W","Sof1p","PF00400",65,96,"Pfam",1956223,"YLL011W"
"1846","YLL011W","Sof1p","PF00400",105,149,"Pfam",1956224,"YLL011W"
"1847","YLL011W","Sof1p","PF00400",298,332,"Pfam",1956225,"YLL011W"
