"Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id"
"YJR132W","Nmd5p","SM00913","24","104","SMART","1968475"
"YJR132W","Nmd5p","SSF48371","2","1047","SUPERFAMILY","1968476"
"YJR133W","Xpt1p","G3DSA:3.40.50.2020","1","209","GENE3D","1969437"
"YJR133W","Xpt1p","PF00156","14","136","Pfam","1969438"
"YJR133W","Xpt1p","PTHR42946","2","207","PANTHER","1969439"
"YJR133W","Xpt1p","PTHR42946:SF4","2","207","PANTHER","1969440"
"YJR133W","Xpt1p","SSF53271","5","197","SUPERFAMILY","1969441"
"YJR134C","Sgm1p","G3DSA:1.10.287.620","221","372","GENE3D","1969442"
"YJR134C","Sgm1p","G3DSA:1.20.5.50","120","220","GENE3D","1969443"
"YJR134C","Sgm1p","G3DSA:1.20.5.50","373","519","GENE3D","1969444"
"YJR134C","Sgm1p","G3DSA:1.20.5.50","580","706","GENE3D","1969445"
"YJR134C","Sgm1p","PF12325","587","699","Pfam","1969446"
"YJR134C","Sgm1p","PF12329","158","229","Pfam","1969447"
"YJR135C","Mcm22p","PD117885","11","232","ProDom","1969448"
"YJR135W-A","Tim8p","G3DSA:1.10.287.810","7","87","GENE3D","1974173"
"YJR135W-A","Tim8p","PF02953","23","84","Pfam","1974174"
"YJR135W-A","Tim8p","PTHR19338","15","86","PANTHER","1974175"
"YJR135W-A","Tim8p","PTHR19338:SF5","15","86","PANTHER","1974176"
"YJR135W-A","Tim8p","SSF144122","31","85","SUPERFAMILY","1974177"
"YJR136C","Tti2p","PF10521","63","330","Pfam","1969449"
"YJR136C","Tti2p","PTHR32226","74","382","PANTHER","1969450"
"YJR137C","Met5p","G3DSA:3.30.413.10","913","974","GENE3D","1969451"
"YJR137C","Met5p","G3DSA:3.30.413.10","975","1206","GENE3D","1969452"
"YJR137C","Met5p","G3DSA:3.30.413.10","1294","1429","GENE3D","1969453"
"YJR137C","Met5p","G3DSA:3.40.50.360","678","845","GENE3D","1969454"
"YJR137C","Met5p","G3DSA:3.40.50.920","170","350","GENE3D","1969455"
"YJR137C","Met5p","G3DSA:3.40.50.970","371","672","GENE3D","1969456"
"YJR137C","Met5p","PF00258","684","826","Pfam","1969457"
"YJR137C","Met5p","PF01077","1004","1192","Pfam","1969458"
"YJR137C","Met5p","PF01077","1341","1423","Pfam","1969459"
"YJR137C","Met5p","PF03460","909","968","Pfam","1969460"
"YJR137C","Met5p","PF03460","1211","1282","Pfam","1969461"
"YJR137C","Met5p","PR00369","683","696","PRINTS","1969462"
"YJR137C","Met5p","PR00369","731","742","PRINTS","1969463"
"YJR137C","Met5p","PR00369","763","773","PRINTS","1969464"
"YJR137C","Met5p","PR00369","794","813","PRINTS","1969465"
"YJR137C","Met5p","PR00397","1295","1313","PRINTS","1969466"
"YJR137C","Met5p","PR00397","1343","1361","PRINTS","1969467"
"YJR137C","Met5p","PS00365","1343","1359","PROSITE","1969468"
"YJR137C","Met5p","PS50902","682","831","PROSITE","1969469"
"YJR137C","Met5p","PTHR11493","221","1441","PANTHER","1969470"
"YJR137C","Met5p","PTHR11493:SF55","221","1441","PANTHER","1969471"
"YJR137C","Met5p","SSF52218","679","835","SUPERFAMILY","1969472"
"YJR137C","Met5p","SSF52518","346","713","SUPERFAMILY","1969473"
"YJR137C","Met5p","SSF52922","222","325","SUPERFAMILY","1969474"
"YJR137C","Met5p","SSF55124","844","977","SUPERFAMILY","1969475"
"YJR137C","Met5p","SSF55124","1207","1289","SUPERFAMILY","1969476"
"YJR137C","Met5p","SSF56014","980","1031","SUPERFAMILY","1969477"
"YJR137C","Met5p","SSF56014","1060","1206","SUPERFAMILY","1969478"
"YJR137C","Met5p","SSF56014","1292","1424","SUPERFAMILY","1969479"
"YJR138W","Iml1p","G3DSA:1.10.10.10","1183","1317","GENE3D","1969480"
"YJR138W","Iml1p","PF00610","1202","1271","Pfam","1969481"
"YJR138W","Iml1p","PF12257","207","485","Pfam","1969482"
"YJR138W","Iml1p","PS50186","1198","1273","PROSITE","1969483"
"YJR138W","Iml1p","PTHR13179","108","1581","PANTHER","1969484"
"YJR138W","Iml1p","PTHR13179:SF9","108","1581","PANTHER","1969485"
"YJR138W","Iml1p","SM00049","1198","1273","SMART","1969486"
"YJR138W","Iml1p","SSF46785","1185","1312","SUPERFAMILY","1969487"
"YJR139C","Hom6p","G3DSA:3.30.360.10","173","336","GENE3D","1952501"
"YJR139C","Hom6p","G3DSA:3.40.50.720","2","172","GENE3D","1952502"
"YJR139C","Hom6p","PF00742","151","353","Pfam","1952503"
"YJR139C","Hom6p","PF03447","12","142","Pfam","1952504"
"YJR139C","Hom6p","PIRSF036497","3","359","PIRSF","1952505"
"YJR139C","Hom6p","PS01042","201","223","PROSITE","1952506"
"YJR139C","Hom6p","PTHR43070","2","359","PANTHER","1952507"
"YJR139C","Hom6p","PTHR43070:SF4","2","359","PANTHER","1952508"
"YJR139C","Hom6p","SSF51735","3","173","SUPERFAMILY","1952509"
"YJR139C","Hom6p","SSF55347","151","340","SUPERFAMILY","1952510"
"YJR140C","Hir3p","PTHR15502","1","1630","PANTHER","1969488"
"YJR141W","Ipa1p","PF09814","7","341","Pfam","1969489"
"YJR141W","Ipa1p","PTHR31531","2","344","PANTHER","1969490"
"YJR142W","Yjr142Wp","G3DSA:3.90.79.10","139","334","GENE3D","1969491"
"YJR142W","Yjr142Wp","PF00293","163","294","Pfam","1969492"
"YJR142W","Yjr142Wp","PF15916","57","153","Pfam","1969493"
"YJR142W","Yjr142Wp","PS51462","155","309","PROSITE","1969494"
"YJR142W","Yjr142Wp","PTHR13622","42","340","PANTHER","1969495"
"YJR142W","Yjr142Wp","PTHR13622:SF12","42","340","PANTHER","1969496"
"YJR142W","Yjr142Wp","SSF55811","136","316","SUPERFAMILY","1969497"
"YJR143C","Pmt4p","G3DSA:2.80.10.50","328","529","GENE3D","1968477"
"YJR143C","Pmt4p","PF02366","58","305","Pfam","1968478"
"YJR143C","Pmt4p","PF02815","343","504","Pfam","1968479"
"YJR143C","Pmt4p","PF16192","541","755","Pfam","1968480"
"YJR143C","Pmt4p","PS50919","331","391","PROSITE","1968481"
"YJR143C","Pmt4p","PS50919","399","458","PROSITE","1968482"
"YJR143C","Pmt4p","PS50919","464","521","PROSITE","1968483"
"YJR143C","Pmt4p","PTHR10050","12","762","PANTHER","1968484"
"YJR143C","Pmt4p","PTHR10050:SF40","12","762","PANTHER","1968485"
"YJR143C","Pmt4p","SM00472","331","391","SMART","1968486"
"YJR143C","Pmt4p","SM00472","399","458","SMART","1968487"
"YJR143C","Pmt4p","SM00472","464","521","SMART","1968488"
"YJR143C","Pmt4p","SSF82109","332","521","SUPERFAMILY","1968489"
"YJR144W","Mgm101p","PF06420","100","269","Pfam","1954825"
"YJR144W","Mgm101p","PTHR31404","10","269","PANTHER","1954826"
"YJR144W","Mgm101p","PTHR31404:SF1","10","269","PANTHER","1954827"
"YJR145C","Rps4Ap","G3DSA:3.10.290.10","35","120","GENE3D","1944427"
"YJR145C","Rps4Ap","G3DSA:3.10.290.10","138","187","GENE3D","1944428"
"YJR145C","Rps4Ap","MF_00485","7","238","HAMAP","1944429"
"YJR145C","Rps4Ap","PD002667","87","180","ProDom","1944430"
"YJR145C","Rps4Ap","PF00467","178","211","Pfam","1944431"
"YJR145C","Rps4Ap","PF00900","95","169","Pfam","1944432"
"YJR145C","Rps4Ap","PF01479","43","90","Pfam","1944433"
"YJR145C","Rps4Ap","PF08071","3","39","Pfam","1944434"
"YJR145C","Rps4Ap","PF16121","212","259","Pfam","1944435"
"YJR145C","Rps4Ap","PIRSF002116","1","241","PIRSF","1944436"
"YJR145C","Rps4Ap","PS00528","8","22","PROSITE","1944437"
"YJR145C","Rps4Ap","PS50889","42","105","PROSITE","1944438"
"YJR145C","Rps4Ap","PTHR11581","1","259","PANTHER","1944439"
"YJR145C","Rps4Ap","SM00363","42","106","SMART","1944440"
"YJR145C","Rps4Ap","SSF55174","53","93","SUPERFAMILY","1944441"
"YJR147W","Hms2p","G3DSA:1.10.10.10","7","103","GENE3D","1969498"
"YJR147W","Hms2p","PF00447","13","101","Pfam","1969499"
"YJR147W","Hms2p","PR00056","13","36","PRINTS","1969500"
"YJR147W","Hms2p","PR00056","51","63","PRINTS","1969501"
"YJR147W","Hms2p","PR00056","64","76","PRINTS","1969502"
"YJR147W","Hms2p","PTHR10015","214","357","PANTHER","1969503"
"YJR147W","Hms2p","PTHR10015:SF252","214","357","PANTHER","1969504"
"YJR147W","Hms2p","SM00415","9","103","SMART","1969505"
"YJR147W","Hms2p","SSF46785","12","101","SUPERFAMILY","1969506"
"YJR148W","Bat2p","G3DSA:3.20.10.10","181","356","GENE3D","1969507"
"YJR148W","Bat2p","G3DSA:3.30.470.10","2","180","GENE3D","1969508"
"YJR148W","Bat2p","PF01063","75","327","Pfam","1969509"
"YJR148W","Bat2p","PIRSF006468","6","374","PIRSF","1969510"
"YJR148W","Bat2p","PS00770","237","272","PROSITE","1969511"
"YJR148W","Bat2p","PTHR11825","3","371","PANTHER","1969512"
"YJR148W","Bat2p","PTHR11825:SF59","3","371","PANTHER","1969513"
"YJR148W","Bat2p","SSF56752","14","367","SUPERFAMILY","1969514"
"YJR148W","Bat2p","TIGR01123","49","365","TIGRFAM","1969515"
"YJR149W","Yjr149Wp","G3DSA:3.20.20.70","4","388","GENE3D","1969516"
"YJR149W","Yjr149Wp","PF03060","29","388","Pfam","1969517"
"YJR149W","Yjr149Wp","PTHR42747","22","403","PANTHER","1969518"
"YJR149W","Yjr149Wp","PTHR42747:SF1","22","403","PANTHER","1969519"
"YJR149W","Yjr149Wp","SSF51412","17","346","SUPERFAMILY","1969520"
"YJR150C","Dan1p","PF00660","25","116","Pfam","1969521"
"YJR150C","Dan1p","PS00724","98","104","PROSITE","1969522"
"YJR150C","Dan1p","PTHR31002","1","298","PANTHER","1969523"
"YJR150C","Dan1p","PTHR31002:SF22","1","298","PANTHER","1969524"
"YJR151C","Dan4p","PF00660","25","116","Pfam","1969525"
"YJR151C","Dan4p","PS00724","98","104","PROSITE","1969526"
"YJR151C","Dan4p","PTHR31002","1","1161","PANTHER","1969527"
"YJR151C","Dan4p","PTHR31002:SF16","1","1161","PANTHER","1969528"
"YJR152W","Dal5p","G3DSA:1.20.1250.20","74","286","GENE3D","1946520"
"YJR152W","Dal5p","G3DSA:1.20.1250.20","303","519","GENE3D","1946521"
"YJR152W","Dal5p","PF07690","90","467","Pfam","1946522"
"YJR152W","Dal5p","PTHR43791","26","542","PANTHER","1946523"
"YJR152W","Dal5p","PTHR43791:SF49","26","542","PANTHER","1946524"
"YJR152W","Dal5p","SSF103473","68","512","SUPERFAMILY","1946525"
"YJR152W","Dal5p","TIGR00893","91","502","TIGRFAM","1946526"
"YJR153W","Pgu1p","G3DSA:2.160.20.10","35","354","GENE3D","1969529"
"YJR153W","Pgu1p","PF00295","43","361","Pfam","1969530"
"YJR153W","Pgu1p","PS00502","215","228","PROSITE","1969531"
"YJR153W","Pgu1p","PTHR31884","10","356","PANTHER","1969532"
"YJR153W","Pgu1p","SM00710","155","185","SMART","1969533"
"YJR153W","Pgu1p","SM00710","186","207","SMART","1969534"
"YJR153W","Pgu1p","SM00710","208","228","SMART","1969535"
"YJR153W","Pgu1p","SM00710","237","258","SMART","1969536"
"YJR153W","Pgu1p","SM00710","266","288","SMART","1969537"
"YJR153W","Pgu1p","SSF51126","40","355","SUPERFAMILY","1969538"
"YJR154W","Yjr154Wp","G3DSA:2.60.120.620","33","279","GENE3D","1969539"
"YJR154W","Yjr154Wp","PF05721","56","262","Pfam","1969540"
"YJR154W","Yjr154Wp","PTHR21308","30","324","PANTHER","1969541"
"YJR154W","Yjr154Wp","PTHR21308:SF8","30","324","PANTHER","1969542"
"YJR154W","Yjr154Wp","SSF51197","50","307","SUPERFAMILY","1969543"
"YJR155W","Aad10p","G3DSA:3.20.20.100","1","254","GENE3D","1969544"
"YJR155W","Aad10p","PF00248","3","252","Pfam","1969545"
"YJR155W","Aad10p","PTHR43364","1","287","PANTHER","1969546"
"YJR155W","Aad10p","PTHR43364:SF2","1","287","PANTHER","1969547"
"YJR155W","Aad10p","SSF51430","4","253","SUPERFAMILY","1969548"
"YJR156C","Thi11p","G3DSA:3.40.190.10","3","309","GENE3D","1969549"
"YJR156C","Thi11p","PF09084","16","238","Pfam","1969550"
"YJR156C","Thi11p","PTHR31528","1","309","PANTHER","1969551"
"YJR156C","Thi11p","PTHR31528:SF7","1","309","PANTHER","1969552"
"YJR156C","Thi11p","SSF53850","5","239","SUPERFAMILY","1969553"
"YJR158W","Hxt16p","G3DSA:1.20.1250.20","50","269","GENE3D","1969554"
"YJR158W","Hxt16p","G3DSA:1.20.1250.20","296","537","GENE3D","1969555"
"YJR158W","Hxt16p","PF00083","63","522","Pfam","1969556"
"YJR158W","Hxt16p","PR00171","71","81","PRINTS","1969557"
"YJR158W","Hxt16p","PR00171","167","186","PRINTS","1969558"
"YJR158W","Hxt16p","PR00171","331","341","PRINTS","1969559"
"YJR158W","Hxt16p","PR00171","426","447","PRINTS","1969560"
"YJR158W","Hxt16p","PR00171","449","461","PRINTS","1969561"
"YJR158W","Hxt16p","PS00216","373","390","PROSITE","1969562"
"YJR158W","Hxt16p","PS00217","172","197","PROSITE","1969563"
"YJR158W","Hxt16p","PS50850","63","513","PROSITE","1969564"
"YJR158W","Hxt16p","PTHR23500","47","548","PANTHER","1969565"
"YJR158W","Hxt16p","PTHR23500:SF327","47","548","PANTHER","1969566"
"YJR158W","Hxt16p","SSF103473","67","267","SUPERFAMILY","1969567"
"YJR158W","Hxt16p","SSF103473","298","521","SUPERFAMILY","1969568"
"YJR158W","Hxt16p","TIGR00879","57","520","TIGRFAM","1969569"
"YJR159W","Sor1p","G3DSA:3.40.50.10730","170","319","GENE3D","1957050"
"YJR159W","Sor1p","G3DSA:3.90.180.10","2","169","GENE3D","1957051"
"YJR159W","Sor1p","PF00107","181","315","Pfam","1957052"
"YJR159W","Sor1p","PF08240","31","141","Pfam","1957053"
"YJR159W","Sor1p","PS00059","67","81","PROSITE","1957054"
"YJR159W","Sor1p","PTHR43161","2","356","PANTHER","1957055"
"YJR159W","Sor1p","PTHR43161:SF1","2","356","PANTHER","1957056"
"YJR159W","Sor1p","SM00829","15","353","SMART","1957057"
"YJR159W","Sor1p","SSF50129","7","179","SUPERFAMILY","1957058"
"YJR159W","Sor1p","SSF51735","144","319","SUPERFAMILY","1957059"
"YJR160C","Mph3p","G3DSA:1.20.1250.20","89","307","GENE3D","1943912"
"YJR160C","Mph3p","G3DSA:1.20.1250.20","331","573","GENE3D","1943913"
"YJR160C","Mph3p","PF00083","102","560","Pfam","1943914"
"YJR160C","Mph3p","PS00217","208","233","PROSITE","1943915"
"YJR160C","Mph3p","PS50850","100","549","PROSITE","1943916"
"YJR160C","Mph3p","PTHR23500","71","580","PANTHER","1943917"
"YJR160C","Mph3p","PTHR23500:SF218","71","580","PANTHER","1943918"
"YJR160C","Mph3p","SSF103473","102","305","SUPERFAMILY","1943919"
"YJR160C","Mph3p","SSF103473","340","557","SUPERFAMILY","1943920"
"YJR160C","Mph3p","TIGR00879","39","556","TIGRFAM","1943921"
"YJR161C","Cos5p","PD005537","1","61","ProDom","1969570"
"YJR161C","Cos5p","PF00674","68","167","Pfam","1969571"
"YJR161C","Cos5p","PF00674","256","353","Pfam","1969572"
"YJR161C","Cos5p","PTHR31249","1","382","PANTHER","1969573"
"YJR161C","Cos5p","PTHR31249:SF15","1","382","PANTHER","1969574"
"YJR162C","Yjr162Cp","PF04318","33","116","Pfam","1969575"
"YKL001C","Met14p","G3DSA:3.40.50.300","19","200","GENE3D","1974917"
"YKL001C","Met14p","MF_00065","22","196","HAMAP","1974918"
"YKL001C","Met14p","PF01583","24","180","Pfam","1974919"
"YKL001C","Met14p","PTHR11055","2","195","PANTHER","1974920"
"YKL001C","Met14p","PTHR11055:SF26","2","195","PANTHER","1974921"
"YKL001C","Met14p","SSF52540","20","193","SUPERFAMILY","1974922"
"YKL001C","Met14p","TIGR00455","7","192","TIGRFAM","1974923"
"YKL002W","Did4p","PF03357","21","188","Pfam","1957948"
"YKL002W","Did4p","PTHR10476","5","230","PANTHER","1957949"
"YKL002W","Did4p","PTHR10476:SF30","5","230","PANTHER","1957950"
"YKL003C","Mrp17p","G3DSA:3.30.70.60","1","107","GENE3D","1951974"
"YKL003C","Mrp17p","PF01250","3","98","Pfam","1951975"
"YKL003C","Mrp17p","PTHR21011","2","109","PANTHER","1951976"
"YKL003C","Mrp17p","PTHR21011:SF7","2","109","PANTHER","1951977"
"YKL003C","Mrp17p","SSF54995","3","100","SUPERFAMILY","1951978"
"YKL003C","Mrp17p","TIGR00166","1","100","TIGRFAM","1951979"
"YKL004W","Aur1p","G3DSA:1.20.144.10","122","315","GENE3D","1957942"
"YKL004W","Aur1p","PF14378","138","310","Pfam","1957943"
"YKL004W","Aur1p","PTHR31310","3","360","PANTHER","1957944"
"YKL004W","Aur1p","PTHR31310:SF11","3","360","PANTHER","1957945"
"YKL004W","Aur1p","SM00014","177","314","SMART","1957946"
"YKL004W","Aur1p","SSF48317","135","315","SUPERFAMILY","1957947"
"YKL005C","Bye1p","G3DSA:1.10.472.30","187","347","GENE3D","1957928"
"YKL005C","Bye1p","G3DSA:3.30.40.10","21","168","GENE3D","1957929"
"YKL005C","Bye1p","PF00628","74","133","Pfam","1957930"
"YKL005C","Bye1p","PF07500","245","357","Pfam","1957931"
"YKL005C","Bye1p","PF07744","314","588","Pfam","1957932"
"YKL005C","Bye1p","PS01359","75","131","PROSITE","1957933"
"YKL005C","Bye1p","PS50016","72","134","PROSITE","1957934"
"YKL005C","Bye1p","PS51321","237","371","PROSITE","1957935"
"YKL005C","Bye1p","PTHR11477","394","594","PANTHER","1957936"
"YKL005C","Bye1p","PTHR11477:SF28","394","594","PANTHER","1957937"
"YKL005C","Bye1p","SM00249","74","132","SMART","1957938"
"YKL005C","Bye1p","SM00510","235","354","SMART","1957939"
"YKL005C","Bye1p","SSF46942","234","346","SUPERFAMILY","1957940"
"YKL005C","Bye1p","SSF57903","60","135","SUPERFAMILY","1957941"
"YKL006C-A","Sft1p","G3DSA:1.20.5.110","2","73","GENE3D","1968185"
"YKL006C-A","Sft1p","PS50192","7","69","PROSITE","1968186"
"YKL006C-A","Sft1p","PTHR12791","2","94","PANTHER","1968187"
"YKL006C-A","Sft1p","SM00397","2","69","SMART","1968188"
"YKL006C-A","Sft1p","SSF58038","3","67","SUPERFAMILY","1968189"
"YKL006W","Rpl14Ap","G3DSA:2.30.30.30","12","96","GENE3D","1957924"
"YKL006W","Rpl14Ap","PF01929","54","128","Pfam","1957925"
"YKL006W","Rpl14Ap","PTHR11127","11","137","PANTHER","1957926"
"YKL006W","Rpl14Ap","SSF50104","12","104","SUPERFAMILY","1957927"
"YKL007W","Cap1p","PF01267","11","264","Pfam","1951865"
"YKL007W","Cap1p","PR00191","153","167","PRINTS","1951866"
"YKL007W","Cap1p","PR00191","183","196","PRINTS","1951867"
"YKL007W","Cap1p","PR00191","232","251","PRINTS","1951868"
"YKL007W","Cap1p","PS00748","184","192","PROSITE","1951869"
"YKL007W","Cap1p","PS00749","236","246","PROSITE","1951870"
"YKL007W","Cap1p","PTHR10653","4","266","PANTHER","1951871"
"YKL007W","Cap1p","PTHR10653:SF10","4","266","PANTHER","1951872"
"YKL007W","Cap1p","SSF90096","1","262","SUPERFAMILY","1951873"
"YKL008C","Lac1p","PF03798","173","377","Pfam","1951874"
"YKL008C","Lac1p","PF08390","110","167","Pfam","1951875"
"YKL008C","Lac1p","PIRSF005225","3","418","PIRSF","1951876"
"YKL008C","Lac1p","PS50922","168","384","PROSITE","1951877"
"YKL008C","Lac1p","PTHR12560","43","415","PANTHER","1951878"
"YKL008C","Lac1p","PTHR12560:SF27","43","415","PANTHER","1951879"
"YKL008C","Lac1p","SM00724","171","384","SMART","1951880"
"YKL009W","Mrt4p","PF00466","19","119","Pfam","1955636"
"YKL009W","Mrt4p","PTHR21141","1","227","PANTHER","1955637"
"YKL009W","Mrt4p","PTHR21141:SF54","1","227","PANTHER","1955638"
"YKL009W","Mrt4p","SSF160369","20","121","SUPERFAMILY","1955639"
"YKL010C","Ufd4p","G3DSA:1.25.10.10","8","635","GENE3D","1955640"
"YKL010C","Ufd4p","G3DSA:3.30.2410.10","1362","1483","GENE3D","1955641"
"YKL010C","Ufd4p","G3DSA:3.90.1750.10","1079","1281","GENE3D","1955642"
"YKL010C","Ufd4p","PF00632","1151","1482","Pfam","1955643"
"YKL010C","Ufd4p","PS50237","1128","1483","PROSITE","1955644"
"YKL010C","Ufd4p","PTHR11254","42","1476","PANTHER","1955645"
"YKL010C","Ufd4p","PTHR11254:SF390","42","1476","PANTHER","1955646"
"YKL010C","Ufd4p","SM00119","1112","1483","SMART","1955647"
"YKL010C","Ufd4p","SSF48371","179","620","SUPERFAMILY","1955648"
"YKL010C","Ufd4p","SSF56204","1092","1476","SUPERFAMILY","1955649"
"YKL011C","Cce1p","G3DSA:3.30.420.10","17","325","GENE3D","1976435"
"YKL011C","Cce1p","PF09159","69","315","Pfam","1976436"
"YKL011C","Cce1p","PTHR28072","1","342","PANTHER","1976437"
"YKL011C","Cce1p","PTHR28072:SF2","1","342","PANTHER","1976438"
"YKL011C","Cce1p","SSF53098","67","262","SUPERFAMILY","1976439"
"YKL011C","Cce1p","SSF53098","291","320","SUPERFAMILY","1976440"
"YKL012W","Prp40p","G3DSA:1.10.10.440","127","198","GENE3D","1955650"
"YKL012W","Prp40p","G3DSA:1.10.10.440","199","264","GENE3D","1955651"
"YKL012W","Prp40p","G3DSA:1.10.10.440","265","345","GENE3D","1955652"
"YKL012W","Prp40p","G3DSA:1.10.10.440","353","413","GENE3D","1955653"
"YKL012W","Prp40p","G3DSA:1.10.10.440","487","550","GENE3D","1955654"
"YKL012W","Prp40p","G3DSA:2.20.70.10","4","29","GENE3D","1955655"
"YKL012W","Prp40p","G3DSA:2.20.70.10","42","126","GENE3D","1955656"
"YKL012W","Prp40p","PF00397","4","29","Pfam","1955657"
"YKL012W","Prp40p","PF00397","43","70","Pfam","1955658"
"YKL012W","Prp40p","PF01846","134","185","Pfam","1955659"
"YKL012W","Prp40p","PF01846","203","254","Pfam","1955660"
"YKL012W","Prp40p","PF01846","358","410","Pfam","1955661"
"YKL012W","Prp40p","PF01846","496","549","Pfam","1955662"
"YKL012W","Prp40p","PS01159","4","29","PROSITE","1955663"
"YKL012W","Prp40p","PS01159","45","70","PROSITE","1955664"
"YKL012W","Prp40p","PS50020","1","31","PROSITE","1955665"
"YKL012W","Prp40p","PS50020","42","72","PROSITE","1955666"
"YKL012W","Prp40p","PS51676","132","188","PROSITE","1955667"
"YKL012W","Prp40p","PS51676","201","257","PROSITE","1955668"
"YKL012W","Prp40p","PS51676","262","332","PROSITE","1955669"
"YKL012W","Prp40p","PS51676","354","413","PROSITE","1955670"
"YKL012W","Prp40p","PS51676","427","488","PROSITE","1955671"
"YKL012W","Prp40p","PS51676","491","552","PROSITE","1955672"
"YKL012W","Prp40p","PTHR11864","2","561","PANTHER","1955673"
"YKL012W","Prp40p","PTHR11864:SF26","2","561","PANTHER","1955674"
"YKL012W","Prp40p","SM00441","132","188","SMART","1955675"
"YKL012W","Prp40p","SM00441","201","257","SMART","1955676"
"YKL012W","Prp40p","SM00441","355","413","SMART","1955677"
"YKL012W","Prp40p","SM00441","493","552","SMART","1955678"
"YKL012W","Prp40p","SM00456","1","31","SMART","1955679"
"YKL012W","Prp40p","SM00456","40","72","SMART","1955680"
"YKL012W","Prp40p","SSF51045","3","37","SUPERFAMILY","1955681"
"YKL012W","Prp40p","SSF51045","37","71","SUPERFAMILY","1955682"
"YKL012W","Prp40p","SSF81698","134","188","SUPERFAMILY","1955683"
"YKL012W","Prp40p","SSF81698","198","264","SUPERFAMILY","1955684"
"YKL012W","Prp40p","SSF81698","351","413","SUPERFAMILY","1955685"
"YKL013C","Arc19p","G3DSA:3.30.1460.20","1","169","GENE3D","1955686"
"YKL013C","Arc19p","PF05856","1","167","Pfam","1955687"
"YKL013C","Arc19p","PIRSF039100","1","171","PIRSF","1955688"
"YKL013C","Arc19p","PTHR22629","1","169","PANTHER","1955689"
"YKL013C","Arc19p","PTHR22629:SF2","1","169","PANTHER","1955690"
"YKL013C","Arc19p","SSF69645","3","169","SUPERFAMILY","1955691"
"YKL014C","Urb1p","PF11707","61","390","Pfam","1956616"
"YKL014C","Urb1p","PF16201","1460","1684","Pfam","1956617"
"YKL014C","Urb1p","PTHR13500","42","1711","PANTHER","1956618"
"YKL015W","Put3p","G3DSA:4.10.240.10","24","88","GENE3D","1950790"
"YKL015W","Put3p","PF00172","33","68","Pfam","1950791"
"YKL015W","Put3p","PF04082","394","619","Pfam","1950792"
"YKL015W","Put3p","PS00463","33","60","PROSITE","1950793"
"YKL015W","Put3p","PS50048","33","62","PROSITE","1950794"
"YKL015W","Put3p","PTHR31944","1","956","PANTHER","1950795"
"YKL015W","Put3p","PTHR31944:SF89","1","956","PANTHER","1950796"
"YKL015W","Put3p","SM00066","28","71","SMART","1950797"
"YKL015W","Put3p","SM00906","480","553","SMART","1950798"
"YKL015W","Put3p","SSF57701","23","67","SUPERFAMILY","1950799"
"YKL015W","Put3p","SSF57959","67","100","SUPERFAMILY","1950800"
"YKL016C","Atp7p","PF05873","6","146","Pfam","1952464"
"YKL016C","Atp7p","PIRSF005514","1","174","PIRSF","1952465"
"YKL016C","Atp7p","PTHR12700","5","167","PANTHER","1952466"
"YKL016C","Atp7p","PTHR12700:SF13","5","167","PANTHER","1952467"
"YKL016C","Atp7p","SSF161065","5","127","SUPERFAMILY","1952468"
"YKL017C","Hcs1p","G3DSA:3.40.50.300","204","475","GENE3D","1956619"
"YKL017C","Hcs1p","G3DSA:3.40.50.300","476","673","GENE3D","1956620"
"YKL017C","Hcs1p","PF13086","207","434","Pfam","1956621"
"YKL017C","Hcs1p","PF13087","444","650","Pfam","1956622"
"YKL017C","Hcs1p","PTHR43788","3","674","PANTHER","1956623"
"YKL017C","Hcs1p","PTHR43788:SF4","3","674","PANTHER","1956624"
"YKL017C","Hcs1p","SM00382","221","459","SMART","1956625"
"YKL017C","Hcs1p","SSF52540","205","655","SUPERFAMILY","1956626"
"YKL017C","Hcs1p","TIGR00376","14","680","TIGRFAM","1956627"
"YKL018C-A","Mco12p","PF08520","4","66","Pfam","1985025"
"YKL018C-A","Mco12p","PTHR28075","2","67","PANTHER","1985026"
"YKL018C-A","Mco12p","PTHR28075:SF3","2","67","PANTHER","1985027"
"YKL018W","Swd2p","G3DSA:2.120.10.30","266","329","GENE3D","1957911"
"YKL018W","Swd2p","G3DSA:2.130.10.10","4","265","GENE3D","1957912"
"YKL018W","Swd2p","PF00400","17","50","Pfam","1957913"
"YKL018W","Swd2p","PF00400","104","141","Pfam","1957914"
"YKL018W","Swd2p","PS50082","109","143","PROSITE","1957915"
"YKL018W","Swd2p","PS50294","23","150","PROSITE","1957916"
"YKL018W","Swd2p","PTHR19861","3","327","PANTHER","1957917"
"YKL018W","Swd2p","PTHR19861:SF9","3","327","PANTHER","1957918"
"YKL018W","Swd2p","SM00320","13","55","SMART","1957919"
"YKL018W","Swd2p","SM00320","102","141","SMART","1957920"
"YKL018W","Swd2p","SM00320","190","229","SMART","1957921"
"YKL018W","Swd2p","SM00320","243","278","SMART","1957922"
"YKL018W","Swd2p","SSF50978","28","328","SUPERFAMILY","1957923"
"YKL019W","Ram2p","G3DSA:1.25.40.120","1","316","GENE3D","1952271"
